ID,label
b739488f-1e13-4e7b-b0c3-906dd5863338.eml,0
949fd115-f0e7-4a24-a7c3-b588fc93def8.eml,0
564f9303-38d9-4bd4-abc3-5a3bc28b722e.eml,0
0d157ca6-1ec0-4719-b24c-9fcdca77d03e.eml,1
b11f6bb4-bdf2-414d-b143-b896119f330c.eml,1
021dc4d2-fc77-42e4-8148-16d2e14beaa7.eml,0
8593273f-48d3-4ab8-b75e-7d56c548d7ac.eml,1
18ebeb46-e2b8-4008-9b04-302e3a41533f.eml,1
fd92e86a-fcfc-495a-a141-fe41ca258b1e.eml,0
3195bc69-68be-4ce6-9fe2-9029d3de37ae.eml,0
97e89895-2508-41db-9319-a9e070b1ebe2.eml,0
8d03fb39-9ddf-4b52-8a4b-438c5710d2cb.eml,1
89ae36b5-6c9c-460b-af52-44e7eef05a0d.eml,1
3b2b60cd-c765-4fad-a33b-0250689e328b.eml,1
2cac5801-1cd6-4af0-87c1-c4ea9d42e9bb.eml,0
43960dd6-e3fb-47fc-b0a2-83b3bb2ed19f.eml,1
7f52ac85-13d2-487d-af84-3bc773e7a8e9.eml,1
2de374e4-af27-4bff-b246-7ae9f253bcce.eml,0
a5db680b-7abf-4985-ae1a-f26a9d64d327.eml,0
0f2030d1-cb42-47db-9c75-e8184de28eca.eml,0
ccef6f30-b909-4537-86dd-767403e68d1f.eml,0
ca07976a-437b-43eb-9069-4142ed1863fd.eml,0
10ea602c-6426-482a-a5fe-b24b3596d6d1.eml,0
0a190ad5-a4f8-468c-9a32-17fdfcecc538.eml,0
266ad94a-eb58-4efc-b1f1-8047e0bec3ec.eml,0
1ed1ed29-bbe6-4866-89e3-c122cebc50e4.eml,0
c8b97d14-9206-474e-9417-9428a54317b9.eml,1
59dc51ba-b057-4855-bbef-02dec6b7a639.eml,0
8c8e6a37-bd26-4573-8b3b-7995953895d4.eml,0
5662a772-40f1-4f2e-97cc-172f787f9868.eml,0
679183f7-60ab-4cc1-bc08-120a1e1c6033.eml,0
86ca1e36-12d9-4f97-b62b-4cdee683958c.eml,1
677f9d4f-db09-4d80-97f0-d19cfe61559a.eml,0
1e7cab8b-f44c-49b0-806c-539d136ce33c.eml,1
a44dc9ca-b817-46d8-8b39-ef4357289b42.eml,0
107f8bd5-9871-4469-8909-accd1110d8b0.eml,0
b2f24038-7b1d-468b-9330-eed2fce300f9.eml,0
051a3098-5ec1-40ee-8869-b226327a3116.eml,1
45d5daa9-604f-401b-95fc-19733d0bb310.eml,0
fc19df89-bfe7-491b-a854-b43c7fbfcf38.eml,0
16533650-3903-4e15-89bc-319404911e56.eml,1
b409dcc0-f00e-4ec9-af21-dbffd7807ea6.eml,0
20d7758b-b99e-4ae4-8aad-cfd022113164.eml,0
cf160da0-74c1-4907-a0a8-f706e923e21b.eml,1
b84b8664-edb1-4234-a2db-db0cc66a7f37.eml,1
a72988da-38e9-4f8a-b3c6-1ee87a814071.eml,0
f808fd9b-2ac8-40bb-b15a-6aa014741b02.eml,0
1d2bc3a0-18be-45e0-a799-cc7084fb45ca.eml,0
f86f9963-b6b1-40fc-9e5f-91a9d47b1ff6.eml,0
8a4f8a1c-4330-42e8-a4d8-0ed1cd555b15.eml,0
f4b9d932-6dee-4b23-9d07-e5308aa24af5.eml,0
a67fb9e2-e988-4e4a-9f27-a0d450303385.eml,0
ddba4f60-9d37-4ceb-a826-e9665e2f2d2c.eml,0
f46c34ed-21c8-4c35-af7a-d0cadb1c402f.eml,0
b380bf24-4799-4e9a-8a28-f203a914e7ef.eml,1
7e0df09d-ec92-4f80-af81-dd55a773faeb.eml,0
7e8016e8-49c2-4c22-8af7-40358e7b4aea.eml,1
e951e9ed-c25a-4737-8d52-68f20c89558c.eml,0
2a573d8d-ba82-4d8e-9d73-c60566ee1e76.eml,0
